,3prime,tAI,max_5_UTR_length,TCGA-C8-A130,TCGA-C8-A130.1
AAK1,17874.0,0.380718848,505.0,0.20693,0.172060516
AATF,207.0,0.367011205,251.0,1.292854,0.54318503
ABCC1,1793.0,0.393368456,175.0,0.493816,-0.111690651
ABCF3,5726.0,0.387768135,869.0,0.535376,0.207231751
ABHD12,654.0,0.374654709,279.0,-0.340164,-0.538606844
ABHD6,1639.0,0.384216096,505.0,-0.689727,-0.146075067
ABR,2562.0,0.39474042,600.0,-0.465094,-0.112845636
ABT1,2092.0,0.423473096,40.0,0.675135,0.618289665
ACADVL,176.0,0.46877374,457.0,0.71069,-0.098926815
ACBD6,155.0,0.433964845,621.0,0.191548,0.231192422
ACIN1,584.0,0.404933544,328.0,0.411915,0.203032876
ACO1,4661.0,0.37721508,227.0,-0.347927,-0.408064948
ACOT11,1220.0,0.392289045,176.0,1.249925,0.068666774
ACOT9,4514.0,0.358892202,225.0,0.129483,0.003613603
ACP2,814.0,0.411581374,548.0,-0.1721,-0.175916387
ACSF2,1484.0,0.405139059,501.0,0.452376,0.182857265
ACSL1,1530.0,0.417966714,990.0,-0.40075,-0.194834939
ACSL5,1022.0,0.380976548,307.0,-0.129271,-0.333236885
ACTB,613.0,0.469768794,192.0,0.6424,-0.323424067
ACTL6A,452.0,0.409046191,387.0,0.691449,0.17492034
ACTR1A,3151.0,0.432463663,108.0,0.566073,0.00287766
ADA,312.0,0.444091501,440.0,2.280742,0.54887024
ADAMDEC1,715.0,0.41564171,547.0,0.654811,-0.513832255
ADD1,1928.0,0.439806775,863.0,-0.003792,0.173243389
ADPRH,2067.0,0.380088169,541.0,-0.26468,-0.188598076
ADSSL1,320.0,0.393141878,776.0,1.136468,0.716221477
AGAP3,508.0,0.436856677,1584.0,-0.023432,-0.034570553
AHNAK,842.0,0.382138706,300.0,-1.401471,-0.116431815
AHSA1,225.0,0.374296292,431.0,0.67458,0.232479895
AIF1,121.0,0.4069451,222.0,-0.221495,-0.112698798
AIFM2,1911.0,0.447982482,217.0,1.052641,-0.125474591
AK1,1528.0,0.389481519,153.0,0.111343,-0.368440944
AK2,2893.0,0.384271636,345.0,0.091073,-0.222397796
AKR1C2,3804.0,0.449591167,413.0,-0.6746,-0.941128824
AKR7A2,10996.0,0.385600504,22.0,0.334007,-0.100589748
ALDH18A1,838.0,0.380333742,511.0,0.106046,0.291342003
ALDH3A2,2525.0,0.42484639,221.0,0.18618,0.083543127
ALDH6A1,4647.0,0.38708374,724.0,-0.685768,-0.414263441
ALG1,2498.0,0.432230555,181.0,0.379598,-0.335472046
ALG5,380.0,0.362014155,67.0,-0.50314,-0.572896511
ALG9,4217.0,0.365461171,1107.0,-1.11988,-0.560349765
ALOX5AP,976.0,0.392577632,248.0,-0.560413,-0.88444817
AMBRA1,1041.0,0.36170155,362.0,-0.255826,0.180986422
AMPD2,903.0,0.389224108,566.0,0.185318,0.152828123
AMPD3,1695.0,0.423686063,472.0,-0.594708,-0.157946916
ANAPC13,1361.0,0.393644021,731.0,0.233554,-0.974422254
ANAPC5,235.0,0.390209877,197.0,0.074167,-0.054238725
ANKLE2,1737.0,0.418251419,90.0,-0.38128,-0.028446133
ANKRD16,135.0,0.465649334,543.0,0.596812,0.385187982
ANKRD35,249.0,0.402949835,108.0,-0.486636,0.263494134
ANXA2,496.0,0.429738522,160.0,-0.017367,-0.233566909
ANXA5,1441.0,0.418050335,165.0,-0.905817,-0.342413541
AP1B1,1153.0,0.424070668,187.0,0.454993,0.063925597
AP1M1,914.0,0.463388599,173.0,1.119756,0.202057992
APBA1,3797.0,0.387421148,276.0,-0.541326,-0.121754981
APIP,427.0,0.433104693,127.0,0.401331,0.249642161
APOBEC3B,339.0,0.43450554,55.0,0.763975,-0.50396214
APOBEC3C,1979.0,0.381716897,103.0,-0.662091,-0.277764264
APOBEC3G,322.0,0.410940579,404.0,-0.373647,-0.463104427
APOL2,1195.0,0.42932248,477.0,-0.001677,-0.463707014
ARF6,2971.0,0.462806813,621.0,0.423214,-0.062661278
ARFIP2,2430.0,0.403729309,291.0,-0.521213,-0.499668616
ARHGAP17,2624.0,0.371011524,117.0,0.064977,-0.114827729
ARHGAP30,773.0,0.384451823,645.0,-0.47257,-0.192891916
ARHGEF10,1378.0,0.370244255,202.0,0.079715,-0.079147942
ARID2,3145.0,0.362288628,128.0,-0.039591,0.319803179
ARID3A,3881.0,0.411693449,290.0,-0.750158,-0.025019121
ARIH2,3112.0,0.397061561,878.0,0.069789,0.083067107
ARL8A,1065.0,0.409602486,171.0,0.207791,-0.227705195
ARRB1,6041.0,0.39512759,224.0,0.353758,-0.259111145
ASF1B,950.0,0.395794233,172.0,1.714902,0.344792695
ASS1,1357.0,0.394201053,356.0,-1.367432,-0.878594878
ATPAF1,3039.0,0.439253133,510.0,0.170353,-0.385819057
ATRIP,162.0,0.417082642,462.0,-0.262436,0.152802099
AXL,1863.0,0.417061167,376.0,-0.132353,-0.253426019
B4GALT7,4483.0,0.433879574,93.0,0.008228,-0.276522208
BAG1,2764.0,0.431693656,501.0,-1.243049,-0.533685902
BAG3,537.0,0.387438444,306.0,0.827815,0.312854441
BASP1,971.0,0.520859146,259.0,1.051803,0.491880267
BBS7,1531.0,0.408023089,184.0,-0.479635,-0.346945638
BCAT2,364.0,0.445598481,657.0,0.430432,-0.051986792
BCKDHB,3082.0,0.419736544,88.0,-1.155061,-0.555050741
BCL2,5279.0,0.374049285,493.0,-0.849609,-0.819263122
BCL2L13,4109.0,0.411790332,769.0,-0.055522,0.035638166
BID,4193.0,0.428633517,498.0,0.404651,0.048534893
BLVRA,3376.0,0.414260839,177.0,-0.39764,-0.421293326
BOLA2,40.0,0.43059393,513.0,0.78892,0.073920604
BOLA3,383.0,0.406657227,38.0,1.212043,0.27811638
BRD2,787.0,0.377809737,2066.0,-0.026046,0.055069045
BRD3,3285.0,0.401150236,188.0,-0.443568,0.02717167
BRI3BP,5801.0,0.359622664,143.0,-0.461769,-0.82262617
BSPRY,1091.0,0.380011644,48.0,-0.708528,-0.900397761
BST2,411.0,0.444557266,81.0,1.486862,-0.509238159
BUB3,1535.0,0.421992618,242.0,0.678347,0.408458837
C1QB,152.0,0.436596666,340.0,-0.522051,0.125228253
C1QC,327.0,0.41150294,283.0,-0.356633,0.291851533
C2CD3,671.0,0.360398895,227.0,0.182236,0.032935385
C3,5088.0,0.430632158,93.0,-1.571915,0.173070238
CAP1,1134.0,0.406948565,416.0,0.0728,-0.145369552
CAPN1,720.0,0.455130071,197.0,0.204183,-0.08157265
CAPRIN1,5632.0,0.374918508,189.0,-0.353215,0.371904143
CAPZB,5180.0,0.446052528,622.0,0.639934,-0.060556927
CARD16,437.0,0.41300235,27.0,-0.671214,-0.3362926
CARHSP1,4898.0,0.362100245,360.0,0.838135,0.009303118
CASC3,1778.0,0.370720542,295.0,0.483862,0.397861047
CASP1,750.0,0.424742838,44.0,-0.913092,-0.148236423
CASP8,1794.0,0.376118708,303.0,-0.31007,-0.014342693
CAT,629.0,0.397270122,89.0,-0.862392,-0.745751736
CBL,8368.0,0.375957197,142.0,-0.582915,-0.028640758
CBLL1,3286.0,0.400851504,467.0,0.006667,0.155356297
CBR3,54.0,0.445176236,228.0,0.577331,-0.090927661
CBS,4385.0,0.477784031,626.0,0.987652,-0.510947351
CBX5,10815.0,0.390902295,318.0,-0.730047,-0.053302467
CBX8,2504.0,0.36735217,118.0,0.237077,0.48601214
CCDC115,2169.0,0.385110507,452.0,-0.634339,0.160609151
CCDC125,2554.0,0.359965106,322.0,-1.373385,-1.305269427
CCDC58,2462.0,0.421830022,75.0,1.294818,0.374068661
CCDC88C,1302.0,0.396031427,154.0,0.46011,0.218882718
CCL5,886.0,0.462166288,68.0,0.928132,-0.419191656
CCNA2,1206.0,0.409154498,373.0,0.850209,-0.037920286
CCNB2,168.0,0.374401461,184.0,1.013509,-0.274124901
CCNDBP1,2336.0,0.44393643,231.0,-1.301967,-0.119306087
CCS,4244.0,0.460896681,43.0,0.954296,0.06305564
CCT3,238.0,0.457984718,231.0,0.036343,-0.091375428
CCT4,1361.0,0.393363555,164.0,0.130388,0.090452364
CD14,128.0,0.416321757,392.0,-1.484474,-0.304600855
CD209,3046.0,0.440000747,67.0,-1.666226,-0.553452025
CD36,2894.0,0.410517795,414.0,-0.558678,-0.667090207
CD40,982.0,0.429065654,90.0,0.075234,-0.134813094
CD44,3115.0,0.39995987,434.0,-1.134193,-0.685380843
CD63,923.0,0.512738356,403.0,-0.845968,-0.727725215
CD74,635.0,0.427357309,187.0,-0.42908,-0.105755118
CDC25C,437.0,0.364786128,387.0,0.162902,-0.460158417
CDC26,271.0,0.395637029,359.0,-0.25233,-0.033961883
CDC34,560.0,0.46431386,199.0,0.258457,0.261523009
CDC42EP3,3941.0,0.420378821,1009.0,-0.320628,-0.282771037
CDCA3,816.0,0.351209268,820.0,2.35099,0.512315459
CDCA8,1353.0,0.384295288,290.0,1.530402,0.346338633
CDIPT,1864.0,0.442654716,541.0,0.220717,-0.429956761
