,3prime,tAI,max_5_UTR_length,TCGA-C8-A138,TCGA-C8-A138.1
AAK1,17874.0,0.380718848,505.0,-0.357864,-0.053298235
AATF,207.0,0.367011205,251.0,-0.1214,-0.466948375
ABCC1,1793.0,0.393368456,175.0,-0.155236,0.402193675
ABCF3,5726.0,0.387768135,869.0,0.023624,0.052477164
ABHD12,654.0,0.374654709,279.0,0.893309,0.321269441
ABHD6,1639.0,0.384216096,505.0,1.669298,0.256024648
ABR,2562.0,0.39474042,600.0,0.027876,0.01538461
ABT1,2092.0,0.423473096,40.0,0.633759,-0.074649003
ACADVL,176.0,0.46877374,457.0,0.726498,0.428796436
ACBD6,155.0,0.433964845,621.0,0.315449,-0.028963382
ACIN1,584.0,0.404933544,328.0,0.372837,0.349204916
ACO1,4661.0,0.37721508,227.0,-1.213754,-0.582116573
ACOT11,1220.0,0.392289045,176.0,-0.49804,-0.67380061
ACOT9,4514.0,0.358892202,225.0,0.550556,0.082936485
ACP2,814.0,0.411581374,548.0,0.485218,-0.091306763
ACSF2,1484.0,0.405139059,501.0,-0.011075,0.19357068
ACSL1,1530.0,0.417966714,990.0,-0.242241,-0.214507778
ACSL5,1022.0,0.380976548,307.0,1.299695,0.694227052
ACTB,613.0,0.469768794,192.0,0.753831,-0.288532711
ACTL6A,452.0,0.409046191,387.0,0.087543,-0.129188906
ACTR1A,3151.0,0.432463663,108.0,0.44624,0.063282015
ADA,312.0,0.444091501,440.0,0.335008,-0.38358803
ADD1,1928.0,0.439806775,863.0,-0.883508,0.280278836
ADPRH,2067.0,0.380088169,541.0,0.043388,-0.330433082
ADSSL1,320.0,0.393141878,776.0,1.228374,0.545315023
AGAP3,508.0,0.436856677,1584.0,0.520091,-0.025490731
AHNAK,842.0,0.382138706,300.0,-0.93951,0.236719248
AHSA1,225.0,0.374296292,431.0,1.419835,0.321547229
AIF1,121.0,0.4069451,222.0,1.175788,-0.194418627
AIFM2,1911.0,0.447982482,217.0,0.73405,-0.379800023
AK1,1528.0,0.389481519,153.0,0.879538,-0.144117402
AK2,2893.0,0.384271636,345.0,-0.118083,-0.287918635
AKR1C2,3804.0,0.449591167,413.0,-0.043595,-0.799015008
AKR7A2,10996.0,0.385600504,22.0,0.266722,-0.233876105
ALDH18A1,838.0,0.380333742,511.0,-0.000668,0.067024724
ALDH3A2,2525.0,0.42484639,221.0,-0.887196,-0.517216422
ALDH6A1,4647.0,0.38708374,724.0,-1.327719,0.265856756
ALG1,2498.0,0.432230555,181.0,0.308594,0.9207299
ALG5,380.0,0.362014155,67.0,0.761396,0.77595819
ALG9,4217.0,0.365461171,1107.0,0.023871,0.290377344
ALOX5AP,976.0,0.392577632,248.0,-0.805708,0.089204247
AMBRA1,1041.0,0.36170155,362.0,-0.367294,-0.242787102
AMPD2,903.0,0.389224108,566.0,-0.350506,0.119357286
AMPD3,1695.0,0.423686063,472.0,0.141588,-0.076651061
ANAPC13,1361.0,0.393644021,731.0,0.453744,-0.193820887
ANAPC5,235.0,0.390209877,197.0,0.178888,0.151928487
ANKLE2,1737.0,0.418251419,90.0,0.250357,0.366615824
ANKRD16,135.0,0.465649334,543.0,-0.03766,-0.35535998
ANKRD35,249.0,0.402949835,108.0,2.952381,1.150897836
ANXA2,496.0,0.429738522,160.0,0.961108,0.306795243
ANXA5,1441.0,0.418050335,165.0,0.257739,-0.089693729
AP1B1,1153.0,0.424070668,187.0,-0.509292,0.00713941
AP1M1,914.0,0.463388599,173.0,-0.05307,-0.020380516
APBA1,3797.0,0.387421148,276.0,-0.740433,-0.413182959
APIP,427.0,0.433104693,127.0,-0.593635,-0.259473264
APOBEC3B,339.0,0.43450554,55.0,0.675572,-0.458340277
APOBEC3C,1979.0,0.381716897,103.0,0.809172,-0.037189213
APOBEC3G,322.0,0.410940579,404.0,1.816628,0.097640033
APOL2,1195.0,0.42932248,477.0,0.713504,0.268857225
ARF6,2971.0,0.462806813,621.0,0.250465,0.160706513
ARFIP2,2430.0,0.403729309,291.0,0.339405,0.115339501
ARHGAP17,2624.0,0.371011524,117.0,0.057586,-0.041442739
ARHGAP30,773.0,0.384451823,645.0,0.597062,-0.015840624
ARHGEF10,1378.0,0.370244255,202.0,-0.708469,-0.033066196
ARID2,3145.0,0.362288628,128.0,0.040247,0.465351058
ARID3A,3881.0,0.411693449,290.0,0.569621,-0.024347121
ARIH2,3112.0,0.397061561,878.0,0.274126,0.081044132
ARL8A,1065.0,0.409602486,171.0,0.034815,0.090830296
ARRB1,6041.0,0.39512759,224.0,-0.439775,-0.160207442
ASF1B,950.0,0.395794233,172.0,0.905266,-0.651431119
ASS1,1357.0,0.394201053,356.0,1.38736,0.585518632
ATPAF1,3039.0,0.439253133,510.0,-0.272378,-0.183285377
AXL,1863.0,0.417061167,376.0,0.354388,0.016539983
B4GALT7,4483.0,0.433879574,93.0,0.525198,0.469992956
BAG1,2764.0,0.431693656,501.0,0.516766,0.039461013
BAG3,537.0,0.387438444,306.0,0.586943,0.152381842
BASP1,971.0,0.520859146,259.0,1.021804,0.562193685
BBS7,1531.0,0.408023089,184.0,-0.91682,-0.148191534
BCAT2,364.0,0.445598481,657.0,0.459409,0.164394019
BCKDHB,3082.0,0.419736544,88.0,-0.865167,-0.196535076
BCL2,5279.0,0.374049285,493.0,-2.051447,-1.239583461
BCL2L13,4109.0,0.411790332,769.0,-0.492083,-0.281263612
BID,4193.0,0.428633517,498.0,0.374069,-0.168092315
BLVRA,3376.0,0.414260839,177.0,0.855556,-0.051605727
BOLA2,40.0,0.43059393,513.0,1.175563,-0.06805003
BOLA3,383.0,0.406657227,38.0,1.020655,0.010533077
BRD2,787.0,0.377809737,2066.0,-0.067705,0.084374072
BRD3,3285.0,0.401150236,188.0,-0.119219,0.173756596
BRI3BP,5801.0,0.359622664,143.0,0.093231,-0.055652224
BSPRY,1091.0,0.380011644,48.0,-0.975312,-0.022843667
BST2,411.0,0.444557266,81.0,1.257907,0.772321047
BUB3,1535.0,0.421992618,242.0,0.506883,-0.053443136
C1QB,152.0,0.436596666,340.0,1.038886,-0.153429242
C1QC,327.0,0.41150294,283.0,0.916118,-0.433692365
C2CD3,671.0,0.360398895,227.0,-0.140021,0.380101269
C3,5088.0,0.430632158,93.0,0.511617,-0.758354596
CAP1,1134.0,0.406948565,416.0,-0.071703,-0.01434852
CAPN1,720.0,0.455130071,197.0,-0.053437,0.153827428
CAPRIN1,5632.0,0.374918508,189.0,-0.355775,0.075445333
CAPZB,5180.0,0.446052528,622.0,0.704767,-0.013064602
