,3prime,tAI,max_5_UTR_length,TCGA-C8-A134,TCGA-C8-A134.1
AAK1,17874.0,0.380718848,505.0,0.345336,0.410652321
AATF,207.0,0.367011205,251.0,-0.021984,-0.331562939
ABCC1,1793.0,0.393368456,175.0,1.173407,0.566529217
ABCF3,5726.0,0.387768135,869.0,-0.25858,0.424821983
ABHD12,654.0,0.374654709,279.0,-0.894484,-0.583329839
ABHD6,1639.0,0.384216096,505.0,-0.703008,0.286263984
ABR,2562.0,0.39474042,600.0,-0.570673,-0.004003559
ABT1,2092.0,0.423473096,40.0,1.000523,0.202058319
ACADVL,176.0,0.46877374,457.0,-0.797099,-0.158432182
ACBD6,155.0,0.433964845,621.0,0.659546,0.570551571
ACIN1,584.0,0.404933544,328.0,-0.358901,-0.102706653
ACO1,4661.0,0.37721508,227.0,-0.007979,-0.167423778
ACOT11,1220.0,0.392289045,176.0,2.891711,0.551710798
ACOT9,4514.0,0.358892202,225.0,0.535563,0.056603988
ACP2,814.0,0.411581374,548.0,0.006984,0.086320879
ACSF2,1484.0,0.405139059,501.0,-1.226504,-0.932330779
ACSL1,1530.0,0.417966714,990.0,-0.006727,-0.506560091
ACSL5,1022.0,0.380976548,307.0,0.976771,0.01757215
ACTB,613.0,0.469768794,192.0,1.111777,0.010609666
ACTL6A,452.0,0.409046191,387.0,0.609991,0.202447865
ACTR1A,3151.0,0.432463663,108.0,-0.267896,-0.111282126
ADA,312.0,0.444091501,440.0,0.427933,0.038195076
ADAMDEC1,715.0,0.41564171,547.0,3.764179,0.623583369
ADD1,1928.0,0.439806775,863.0,-0.116114,0.160742816
ADPRH,2067.0,0.380088169,541.0,0.703891,0.201709018
ADSSL1,320.0,0.393141878,776.0,-0.684824,-0.186408297
AGAP3,508.0,0.436856677,1584.0,1.008223,0.29494955
AHNAK,842.0,0.382138706,300.0,-1.881434,-0.619258405
AHSA1,225.0,0.374296292,431.0,-0.361084,-0.185285907
AIF1,121.0,0.4069451,222.0,0.456453,0.062150286
AIFM2,1911.0,0.447982482,217.0,0.591283,-0.009394664
AK1,1528.0,0.389481519,153.0,-0.637651,-0.357503846
AK2,2893.0,0.384271636,345.0,-0.176923,-0.396386806
AKR1C2,3804.0,0.449591167,413.0,-2.555726,-1.514245516
AKR7A2,10996.0,0.385600504,22.0,-0.984291,-0.649308679
ALDH18A1,838.0,0.380333742,511.0,-0.449631,-0.104216293
ALDH3A2,2525.0,0.42484639,221.0,0.896477,0.147321962
ALDH6A1,4647.0,0.38708374,724.0,-1.636922,-0.885088801
ALG1,2498.0,0.432230555,181.0,-0.424835,-0.697033541
ALG5,380.0,0.362014155,67.0,-0.073577,-0.240543476
ALG9,4217.0,0.365461171,1107.0,0.64037,-0.408293713
ALOX5AP,976.0,0.392577632,248.0,0.486318,0.044896954
AMBRA1,1041.0,0.36170155,362.0,0.511498,0.317188859
AMPD2,903.0,0.389224108,566.0,0.364177,0.301591185
AMPD3,1695.0,0.423686063,472.0,0.96067,0.267217116
ANAPC5,235.0,0.390209877,197.0,0.230923,0.109959728
ANKLE2,1737.0,0.418251419,90.0,0.636569,0.286753256
ANKRD16,135.0,0.465649334,543.0,-1.303167,-0.25003646
ANKRD35,249.0,0.402949835,108.0,2.66261,0.798297981
ANXA2,496.0,0.429738522,160.0,0.451526,0.108529311
ANXA5,1441.0,0.418050335,165.0,1.142488,0.038821233
AP1B1,1153.0,0.424070668,187.0,-0.369137,-0.143026345
AP1M1,914.0,0.463388599,173.0,0.420375,0.053664408
APBA1,3797.0,0.387421148,276.0,3.063794,1.229329736
APIP,427.0,0.433104693,127.0,0.508274,0.033688181
APOBEC3C,1979.0,0.381716897,103.0,-0.190772,0.033954636
APOBEC3G,322.0,0.410940579,404.0,0.356527,0.241105727
APOL2,1195.0,0.42932248,477.0,0.464956,0.101417598
ARF6,2971.0,0.462806813,621.0,-0.354574,-0.40942004
ARFIP2,2430.0,0.403729309,291.0,-1.135945,-0.579036432
ARHGAP17,2624.0,0.371011524,117.0,0.187642,0.10953137
ARHGAP30,773.0,0.384451823,645.0,0.005161,0.035724767
ARHGEF10,1378.0,0.370244255,202.0,0.570987,0.678056267
ARID2,3145.0,0.362288628,128.0,-0.323181,-0.118235775
ARID3A,3881.0,0.411693449,290.0,-0.317919,0.013422818
ARIH2,3112.0,0.397061561,878.0,-0.17412,0.132318692
ARL8A,1065.0,0.409602486,171.0,0.768092,0.506540166
ARRB1,6041.0,0.39512759,224.0,-1.101977,-0.556538975
ASF1B,950.0,0.395794233,172.0,1.581911,0.59797863
