,3prime,tAI,max_5_UTR_length,TCGA-BH-A0C1,TCGA-BH-A0C1.1
AAK1,17874.0,0.380718848,505.0,0.654283,0.216318604
AATF,207.0,0.367011205,251.0,-0.402732,0.386162856
ABCC1,1793.0,0.393368456,175.0,0.44891,-0.09360412
ABCF3,5726.0,0.387768135,869.0,-0.791188,0.432477515
ABHD12,654.0,0.374654709,279.0,-0.079147,0.255272205
ABHD6,1639.0,0.384216096,505.0,-1.009789,-0.084982648
ABR,2562.0,0.39474042,600.0,-0.458767,0.199030249
ABT1,2092.0,0.423473096,40.0,-0.157524,0.508493134
ACADVL,176.0,0.46877374,457.0,-0.857497,0.313214934
ACBD6,155.0,0.433964845,621.0,0.923177,0.407201174
ACIN1,584.0,0.404933544,328.0,-0.22456,-0.328222569
ACO1,4661.0,0.37721508,227.0,-0.555256,-0.425886935
ACOT11,1220.0,0.392289045,176.0,-1.113721,0.151143961
ACOT9,4514.0,0.358892202,225.0,-0.184133,-0.104660539
ACP2,814.0,0.411581374,548.0,-0.974194,0.345512782
ACSF2,1484.0,0.405139059,501.0,-0.825437,-0.017597678
ACSL1,1530.0,0.417966714,990.0,0.264859,-0.001433879
ACSL5,1022.0,0.380976548,307.0,0.200262,0.383840911
ACTB,613.0,0.469768794,192.0,0.509093,-0.098930171
ACTL6A,452.0,0.409046191,387.0,-0.028813,0.28849603
ACTR1A,3151.0,0.432463663,108.0,-0.228527,-0.006424419
ADA,312.0,0.444091501,440.0,0.61483,0.451778656
ADAMDEC1,715.0,0.41564171,547.0,-0.017044,-0.3489703
ADD1,1928.0,0.439806775,863.0,-0.310132,0.144200929
ADPRH,2067.0,0.380088169,541.0,-0.927551,0.048653726
ADSSL1,320.0,0.393141878,776.0,-1.258027,-0.726937149
AGAP3,508.0,0.436856677,1584.0,-0.710878,-0.041290618
AHNAK,842.0,0.382138706,300.0,0.244974,-0.727827227
AHSA1,225.0,0.374296292,431.0,-0.302017,0.081532824
AIF1,121.0,0.4069451,222.0,-0.331435,0.614308904
AIFM2,1911.0,0.447982482,217.0,-1.541098,0.170696998
AK1,1528.0,0.389481519,153.0,-1.158896,-0.009443462
AK2,2893.0,0.384271636,345.0,-0.613786,0.163431701
AKR1C2,3804.0,0.449591167,413.0,-1.33199,-0.970558017
AKR7A2,10996.0,0.385600504,22.0,-0.394254,-0.873785632
ALDH18A1,838.0,0.380333742,511.0,0.496986,0.531392443
ALDH3A2,2525.0,0.42484639,221.0,-0.620095,0.338112376
ALDH6A1,4647.0,0.38708374,724.0,0.601508,-0.436117215
ALG1,2498.0,0.432230555,181.0,-0.300671,0.053761196
ALG5,380.0,0.362014155,67.0,-0.339361,0.098294073
ALOX5AP,976.0,0.392577632,248.0,0.085858,0.124601278
AMBRA1,1041.0,0.36170155,362.0,0.219838,-0.18165062
AMPD2,903.0,0.389224108,566.0,0.000145,0.667453307
AMPD3,1695.0,0.423686063,472.0,-0.188829,0.160458193
ANAPC13,1361.0,0.393644021,731.0,-0.365286,-0.378199873
ANAPC5,235.0,0.390209877,197.0,-0.879677,0.032891864
ANKLE2,1737.0,0.418251419,90.0,-0.840469,0.396902502
ANKRD16,135.0,0.465649334,543.0,0.023141,0.581685678
ANXA2,496.0,0.429738522,160.0,-0.646446,-0.387686726
ANXA5,1441.0,0.418050335,165.0,-0.031779,0.228731481
AP1B1,1153.0,0.424070668,187.0,-0.261678,0.129981803
AP1M1,914.0,0.463388599,173.0,-0.215029,0.349171371
APBA1,3797.0,0.387421148,276.0,1.148386,0.09445417
APIP,427.0,0.433104693,127.0,0.110726,-0.013412605
APOBEC3B,339.0,0.43450554,55.0,-0.30035,0.385145851
APOBEC3C,1979.0,0.381716897,103.0,0.419592,0.633951387
APOBEC3G,322.0,0.410940579,404.0,0.148932,0.986389025
APOL2,1195.0,0.42932248,477.0,-0.770649,0.231424961
ARF6,2971.0,0.462806813,621.0,-0.033841,-0.404375754
ARFIP2,2430.0,0.403729309,291.0,-0.700266,0.003275877
ARHGAP17,2624.0,0.371011524,117.0,-0.189867,0.34091723
ARHGAP30,773.0,0.384451823,645.0,-0.125513,0.501131767
ARHGEF10,1378.0,0.370244255,202.0,0.629673,-0.16310197
ARID2,3145.0,0.362288628,128.0,0.90905,-0.094027448
ARID3A,3881.0,0.411693449,290.0,0.555073,-1.242990888
ARIH2,3112.0,0.397061561,878.0,-0.14384,0.009958073
ARL8A,1065.0,0.409602486,171.0,0.47062,0.080882801
ARRB1,6041.0,0.39512759,224.0,-0.689481,0.272651578
ASF1B,950.0,0.395794233,172.0,-0.27951,0.547948737
ASS1,1357.0,0.394201053,356.0,0.227466,0.459902434
ATPAF1,3039.0,0.439253133,510.0,-0.800793,0.620931614
ATRIP,162.0,0.417082642,462.0,0.387074,0.384069311
AXL,1863.0,0.417061167,376.0,0.070321,0.730090831
B4GALT7,4483.0,0.433879574,93.0,-0.174696,-0.198152502
